YearMonth,Category,Total_Sales,Total_Profit,Total_Quantity,Num_Orders
2014-01,Furniture,6243,804,70,17
2014-01,Office Supplies,4852,785,169,26
2014-01,Technology,3143,857,45,7
2014-02,Furniture,1840,121,23,6
2014-02,Office Supplies,1070,173,103,22
2014-02,Technology,1608,565,33,7
2014-03,Furniture,14575,-1131,131,26
2014-03,Office Supplies,8604,1267,370,58
2014-03,Technology,32510,359,84,19
2014-04,Furniture,7663,567,79,21
2014-04,Office Supplies,11155,1003,345,51
2014-04,Technology,9195,1932,110,22
2014-05,Furniture,6911,-349,97,23
2014-05,Office Supplies,7135,1746,281,46
2014-05,Technology,9602,1339,88,20
2014-06,Furniture,13206,595,122,25
2014-06,Office Supplies,12955,3031,322,50
2014-06,Technology,8437,1349,77,17
2014-07,Furniture,10820,372,114,25
2014-07,Office Supplies,15124,-2478,333,52
2014-07,Technology,8004,1266,103,23
2014-08,Furniture,7317,664,107,23
2014-08,Office Supplies,11382,2768,376,58
2014-08,Technology,9209,1887,126,24
2014-09,Furniture,23819,1858,208,49
2014-09,Office Supplies,27429,6690,624,102
2014-09,Technology,30539,-234,168,33
2014-10,Furniture,12304,248,130,28
2014-10,Office Supplies,7206,1116,332,57
2014-10,Technology,11938,2082,111,27
2014-11,Furniture,21565,-300,228,53
2014-11,Office Supplies,26866,4412,741,119
2014-11,Technology,30203,5180,250,51
2014-12,Furniture,30644,2013,312,57
2014-12,Office Supplies,18004,2067,573,105
2014-12,Technology,20897,4908,194,41
2015-01,Furniture,11739,-3014,88,13
2015-01,Office Supplies,1809,593,110,20
2015-01,Technology,4624,-856,38,5
2015-02,Furniture,3136,394,45,9
2015-02,Office Supplies,5368,1814,149,24
2015-02,Technology,3450,606,45,11
2015-03,Furniture,12501,1455,111,23
2015-03,Office Supplies,15886,5408,314,57
2015-03,Technology,10345,2871,90,25
2015-04,Furniture,10475,340,107,23
2015-04,Office Supplies,12559,1476,298,58
2015-04,Technology,11164,2371,138,29
2015-05,Furniture,9376,900,126,24
2015-05,Office Supplies,9117,1737,362,56
2015-05,Technology,11644,2033,87,20
2015-06,Furniture,7713,-416,112,24
2015-06,Office Supplies,10649,2197,296,49
2015-06,Technology,6438,1553,78,24
2015-07,Furniture,13674,-324,162,30
2015-07,Office Supplies,4719,1113,293,51
2015-07,Technology,10372,2497,102,20
2015-08,Furniture,9637,-488,112,27
2015-08,Office Supplies,11736,2208,370,56
2015-08,Technology,15526,3635,116,21
2015-09,Furniture,26275,1348,205,50
2015-09,Office Supplies,19310,2039,685,106
2015-09,Technology,19016,4820,196,41
2015-10,Furniture,12024,-607,140,29
2015-10,Office Supplies,8674,1094,355,62
2015-10,Technology,10708,2328,136,34
2015-11,Furniture,30882,2994,310,67
2015-11,Office Supplies,21221,2792,799,114
2015-11,Technology,23876,6685,201,51
2015-12,Furniture,23086,430,257,52
2015-12,Office Supplies,16200,2630,684,125
2015-12,Technology,35631,4950,262,57
2016-01,Furniture,7624,304,101,18
2016-01,Office Supplies,5303,1602,185,32
2016-01,Technology,5621,918,72,16
2016-02,Furniture,3926,378,69,17
2016-02,Office Supplies,6794,1331,184,31
2016-02,Technology,12259,3299,53,13
2016-03,Furniture,12799,-554,162,38
2016-03,Office Supplies,17347,1065,287,57
2016-03,Technology,21570,3105,130,31
2016-04,Furniture,13216,365,146,33
2016-04,Office Supplies,10648,-1101,408,66
2016-04,Technology,14893,3715,81,21
2016-05,Furniture,15123,1822,181,38
2016-05,Office Supplies,13037,2390,521,84
2016-05,Technology,28832,4439,161,32
2016-06,Furniture,13072,-108,128,30
2016-06,Office Supplies,10909,2472,490,67
2016-06,Technology,16372,2388,124,30
2016-07,Furniture,13068,1042,159,29
2016-07,Office Supplies,12925,1127,473,75
2016-07,Technology,13269,2266,126,28
2016-08,Furniture,12483,-494,115,27
2016-08,Office Supplies,8961,1633,443,67
2016-08,Technology,9675,925,135,31
2016-09,Furniture,27261,703,284,69
2016-09,Office Supplies,23266,3715,834,146
2016-09,Technology,22888,4907,198,47
2016-10,Furniture,11875,-145,187,43
2016-10,Office Supplies,16281,4678,465,69
2016-10,Technology,31536,11708,115,26
2016-11,Furniture,31783,820,318,65
2016-11,Office Supplies,20488,4683,819,124
2016-11,Technology,27142,-1500,269,68
2016-12,Furniture,36680,2828,343,69
2016-12,Office Supplies,38002,11471,837,128
2016-12,Technology,22327,3593,234,46
2017-01,Furniture,5965,-39,86,21
2017-01,Office Supplies,21276,3260,395,54
2017-01,Technology,16735,3916,116,25
2017-02,Furniture,6868,-200,71,21
2017-02,Office Supplies,7409,955,222,42
2017-02,Technology,6029,857,70,20
2017-03,Furniture,10896,1004,123,31
2017-03,Office Supplies,14553,2717,557,87
